元文,変換文,"ラベル
記入欄"
朝ごはんはトーストにバターとべジマイトを薄くぬって食べました。,朝ごはんはトーストにバターとべジマイトを薄くぬって食べました。,無変換
そして10時くらいに、喫茶店でレーシャルとジョノサンとベルに会いました。,そして10時くらいに、喫茶店でレーシャルとジョノサンとベルに会いました。,無変換
24日から26日まではavconというアニメとテレビゲームの大会です。,24日から26日まではavconというアニメとテレビゲームの大会です。,無変換
材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです。,材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです。,無変換
そして、ニンジンとキュウリとほうれん草と（日本の）マヨネーズもあります。,そして、ニンジンとキュウリとほうれん草と（日本の）マヨネーズもあります。,無変換
お医者さんに会ったけど彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いのですね。」と言いました。,お医者さんにお会いしましたが彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いのですね。」とおっしゃいました。,変換:謙譲語/尊敬語
『庭に出る』と『庭を出る』と『庭から出る』はなにが違うのでしょうか？,『庭に出る』と『庭を出る』と『庭から出る』はなにが違うのでしょうか？,無変換
「生日快樂」(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って､彼女と古天樂さんが主役をする映画です。,「生日快樂」(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って､彼女と古天樂さんが主役をする映画です。,無変換
このストーリーは､実らない恋についてのちょっと悲しいストーリーです。,このストーリーは､実らない恋についての少し悲しいストーリーです。,どちらでも良い:other
悲しい映画だけど､映画の画面が綺麗で､それに､私はその主人公(小米さん---劉若英さんが演じた役です)の気持ちがよく分かると思ったから､この映画が好きです。,悲しい映画ですが､映画の画面が綺麗で､それに､私はその主人公(小米さん---劉若英さんが演じた役です)の気持ちがよく分かると思いましたので､この映画が好きです。,どちらでも良い:丁寧語/other
映画の中で､小米さんはあまり自信がない女の子なので､彼女には恋する勇気がありません。,映画の中で､小米さんはあまり自信がない女の子なので､彼女には恋する勇気がありません。,無変換
相手をどんなに愛しても､自分が相手にどんなに愛されても､恋人になったら､いつか別れると彼女はそう信じます。,相手をどんなに愛しても､自分が相手にどんなに愛されても､恋人になったら､いつか別れると彼女はそう信じます。,無変換
小南さん(古天樂さんの役です)と小米さん二人は大学時代から､ずっとお互いに愛しているけど､結末は二人は一緒になりませんでした。,小南さん(古天樂さんの役です)と小米さん二人は大学時代から､ずっとお互いに愛していますが､結末は二人は一緒になりませんでした。,どちらでも良い:丁寧語
小米さんは､失うことを恐れるため､むしろ始めることをしませんでした。,小米さんは､失うことを恐れるので､むしろ始めることをしませんでした。,どちらでも良い:other
自分を守るために､知らず知らずのうちに別のいいこと(大切な人とか)を失っているかもしれません。,自分を守るために､知らず知らずのうちに別のいいこと(大切な人とか)を失っているかもしれません。,無変換
皆さんは､自分を愛して(もっと自信を持って)､好きな人と恋する勇気を持ちますように。,皆さんは､自分を愛して(もっと自信を持って)､好きな人と恋する勇気を持ちますように。,無変換
「どのくらい再び愛することが出来ますか」(有多少愛可以重來)という歌は､,「どのくらい再び愛することが出来ますか」(有多少愛可以重來)という歌は､,無変換
映画の中で､小南さんがよく歌っている歌ですが､本当に小米さんの気持ちを歌い上げていました。,映画の中で､小南さんがよく歌っている歌ですが､本当に小米さんの気持ちを歌い上げていました。,無変換
私は高校三年生だ、もうすぐ大学入学試験があるから、毎日勉強しなければならない、大変です！,私は高校三年生です、もうすぐ大学入学試験があるから、毎日勉強しなければいけません、大変です！,どちらでも良い:丁寧語
私のうちは四人家族です、僕と母と兄と婆ちゃんです、ちょっと狭いアパートに住んでいます。,私のうちは四人家族です、僕と母と兄と祖母です、少し狭いアパートに住んでいます。,変換:謙譲語
好きな食べ物は日本の料理です、好きな飲み物はビールです、台湾のビールはとてもうまいですよ！,好きな食べ物は日本の料理です、好きな飲み物はビールです、台湾のビールはとてもおいしいですよ！,変換:美化語
外国人が日本に来て数年で花粉症になったという話もよく聞く。。。。,外国人が日本に来て数年で花粉症になったという話もよく聞きます。。。。,どちらでも良い:丁寧語
（）のところに①と②、どちらを入れるのが一番よいのでしょうか？,（）のところに①と②、どちらを入れるのが一番よいのでしょうか？,無変換
その先生もどうかしている、プレゼントもそんな際立つもの（一味違うもの）をほしがる。,その先生もどうかしていらっしゃる、プレゼントもそのような際立つもの（一味違うもの）をほしがられます。,変換:尊敬語
十月の時点で、万物は既に萎びている季節なので、どこに花があるだろう。,十月の時点で、万物は既に萎びている季節なので、どこに花があるのでしょう。,どちらでも良い:other
刘伯温は咲き遅れている紺の菊花を贈呈したが、施耐庵は熟考したうえで、牡丹の枝を手折って贈呈した。,刘伯温は咲き遅れている紺の菊花を贈呈しましたが、施耐庵は熟考したうえで、牡丹の枝を手折って贈呈しました。,どちらでも良い:丁寧語
牡丹は葉が落ちて黒く細い枝が枯れているように見えるが、どういう意味があるだろう？,牡丹は葉が落ちて黒く細い枝が枯れているように見えますが、どういう意味があるでしょう？,どちらでも良い:丁寧語
先生は刘伯温からもらった紺の菊花を手に持ってみたところ、花の色もいいし、咲き遅れというものの、やはり咲いたものなので、もしかしたら刘伯温が大器晩成となる（のし上がるのが遅い）という兆しかもしれない。,先生は刘伯温からもらった紺の菊花を手に持ってみたところ、花の色もいいし、咲き遅れというものの、やはり咲いたものなので、もしかしたら刘伯温が大器晩成となる（のし上がるのが遅い）という兆しかもしれません。,どちらでも良い:丁寧語
また手を伸ばして施耐庵からもらった牡丹の枝を手にとって見たら花がついてない、見間違って老眼を疑っているかのように目を揉んだあと、もう一度見ても花がついてない、鼻で嗅いでみたら信じがたくても枝であることを信じざるを得なかった「施耐庵よ、何で枝を花と見なしたの？」と不可解げに聞いた。,また手を伸ばして施耐庵からもらった牡丹の枝を手にとって見たら花がついてない、見間違って老眼を疑っているかのように目を揉んだあと、もう一度見ても花がついてない、鼻で嗅いでみたら信じがたくても枝であることを信じざるを得なかった「施耐庵よ、何で枝を花と見なしたの？」と不可解げに聞きました。,どちらでも良い:丁寧語
「先生、私は牡丹のことがずっと好きです、猛威にもめげない花で、武則天が厳冬の雪のある日に、号令一下、花々は皆咲き出したが、牡丹だけは依然として枝のままで立ち誇っていて本性を忘れることがなかったのです。,「先生、私は牡丹のことがずっと好きです、猛威にもめげない花で、武則天が厳冬の雪のある日に、号令一下、花々は皆咲き出しましたが、牡丹だけは依然として枝のままで立ち誇っていて本性を忘れることがなかったのです。,無変換
今は牡丹の花が咲く時期ではないので、花の代わりに枝を差し上げた次第です」と施耐庵がこう答えた。,今は牡丹の花が咲く時期ではないので、花の代わりに枝を差し上げた次第です」と施耐庵がこう答えました。,どちらでも良い:丁寧語
心の中では敬服はしていたが、でも、畢竟よい兆しではない。だが、人は其々で好き好きなので、無理やりすることが出来まいと思っていた。,心の中では敬服はしていましたが、でも、畢竟よい兆しではありません。ですが、人は其々で好き好きなので、無理やりすることが出来まいと思っていました。,どちらでも良い:丁寧語
施耐庵に対し、そんな頑固な性格によりやられるのではないかと心配してやまない。,施耐庵に対し、そんな頑固な性格によりやられるのではないかと心配してやみません。,どちらでも良い:丁寧語
それで二人の弟子に向けて「今や、政府不振、政治腐敗、天下の混乱は遠からず来る。,それで二人の弟子に向けて「今や、政府不振、政治腐敗、天下の混乱は遠からず来る。,無変換
お前ら二人は別々の主に仕え、都合の悪いときに、居直ったりしていがみ合うような真似をしたりすることがあるのかい？」と聞き出した。,お前ら二人は別々の主に仕え、都合の悪いときに、居直ったりしていがみ合うような真似をしたりすることがあるのかい？」と聞き出しました。,どちらでも良い:丁寧語
「同窓の誼は深いもので忘れるべからず、手足のように情け深く（睦まじく）協力し合え、ゆめゆめ忘れることなかれ」と。,「同窓の誼は深いもので忘れるべからず、手足のように情け深く（睦まじく）協力し合え、ゆめゆめ忘れることなかれ」と。,無変換
「丽江」が大好きです（ごめんね日本語の「丽江」のひらがなは知らないよ）,「丽江」が大好きです（ごめんなさい日本語の「丽江」のひらがなは知りませんよ）,変換:丁寧語
馬の　名前は　Ｂｉｓｓｅｎ、　Ｐｕｎｔｏ、　Ｍａｙ　と　Ｃａｐｐｉ　です。,馬の 名前は Ｂｉｓｓｅｎ、 Ｐｕｎｔｏ、 Ｍａｙ と Ｃａｐｐｉ です。,無変換
日本語を　一人で　べんきょうしている　から　鳥渡　わるい　かもしれないです。,日本語を一人で勉強しているから鳥渡わるいかもしれないです。,どちらでも良い:other
漢字で　かくことが　はじめて　です。　だから　間違いなく、　誤記が　有ります。,漢字でかくことがはじめてです。だから間違いなく、誤記が有ります。,どちらでも良い:other
それは彼女を迎えに行ったせいでテレビを見れなかったので怒りました。,それは彼女を迎えに行ったせいでテレビを見られなかったので怒りました。,どちらでも良い:other
でも友達はもしその理由で別れたら彼がかわいそうだと答えました。,しかし友達はもしその理由で別れたら彼がかわいそうだと答えました。,変換:other
水俣病は神経学的症候群なので、病気の症状は運動失調や失明や難聴だ。,水俣病は神経学的症候群ですので、病気の症状は運動失調や失明や難聴です。,どちらでも良い:丁寧語
水俣病の生存者と生存者の家族の証言によると、水俣病はとてもひどい病だったらしい。,水俣病の生存者と生存者の家族の証言によると、水俣病はとてもひどい病だったらしいです。,どちらでも良い:丁寧語
それに、足の内部に痺れがあるので、水俣病を持っている人は歩けなかった。,それに、足の内部に痺れがあるので、水俣病を持っている人は歩けませんでした。,どちらでも良い:丁寧語
でも、そのイベントの前から、チッソ株式会社は継続的に汚染していた。,でも、そのイベントの前から、チッソ株式会社は継続的に汚染していました。,どちらでも良い:丁寧語
1932年から、チッソ株式会社はたくさんのアセトアルデヒドを生成していた。,1932年から、チッソ株式会社はたくさんのアセトアルデヒドを生成していました。,どちらでも良い:丁寧語
そして、チッソ株式会社は無気力で、不注意で、とんでもなかった。,そして、チッソ株式会社は無気力で、不注意で、とんでもありませんでした。,どちらでも良い:丁寧語
人に聞いたら「日本語が上手になるためには、いい辞書がなければならない。」と言われました。それで僕はいい辞書を探しはじめました。,人に聞いたら「日本語が上手になるためには、いい辞書がなければならない。」と言われました。それで僕はいい辞書を探しはじめました。,無変換
本地の書店でいろいろな辞書を見ましたがいい辞典はなさそうです。,本地の書店でいろいろな辞書を見ましたがいい辞典はなさそうです。,無変換
帰ったあと兄は「インターネットで買うのはどうだ。」と言いました。僕は一度もインターネットで買い物をした経験がないから、すべてを兄に手伝ってもらいました。,帰ったあと兄は「インターネットで買うのはどうだ。」と言いました。僕は一度もインターネットで買い物をした経験がないので、すべてを兄に手伝ってもらいました。,どちらでも良い:other
今日は辞書が届きます。確かにすごい辞書ですけど、字がちょっと細かすぎます。,今日は辞書が届きます。確かにすごい辞書ですけど、字がちょっと細かすぎます。,無変換
昨夜１１時３２分ごろ、宮城県北部と中部で震度６強（Ｍ７．４）の地震がありました。,昨夜１１時３２分ごろ、宮城県北部と中部で震度６強（Ｍ７．４）の地震がありました。,無変換
気象庁は宮城県沿岸に津波警報を発令、青森県の太平洋沿岸と岩手、福島、茨城各県の沿岸には津波注意報を発令しました。,気象庁は宮城県沿岸に津波警報を発令、青森県の太平洋沿岸と岩手、福島、茨城各県の沿岸には津波注意報を発令しました。,無変換
東日本大震災から約１カ月、復興に向かおうとしている震災地の住民達は、大震災を思い出させる津波の警報と揺れに、みんなすごく不安な一夜を過ごしたようです。,東日本大震災から約１カ月、復興に向かおうとしている震災地の住民達は、大震災を思い出させる津波の警報と揺れに、みんなとても不安な一夜を過ごしたそうです。,どちらでも良い:other
時々、アメリカの女は”あたしは優しいガイが欲しい”と言ってんだけど、これらの人はいつも”優しいガイ”を拒否するか無視します。,時々、アメリカの女性は”私は優しいガイが欲しい”と言っていますが、彼女らはいつも”優しいガイ”を拒否するか無視します。,変換:丁寧語
レイの零号機に乗ってどうすんの？」しか出てこなくて、質問の内容を一切考えられなかった。,レイの零号機に乗ってどうすんの？」しか出てこなくて、質問の内容を一切考えられませんでした。,変換:丁寧語
今まで、スロバキアにいて、インターネットがなくてちょっと困ったので、七月の半期はLang-8にエントリーを書くことができませんでした。,今まで、スロバキアにいて、インターネットがなくてちょっと困ったので、七月の半期はLang-8にエントリーを書くことができませんでした。,無変換
天気は大変暑くなりましたが、私は七月十二日からスロバキアに行って山に近いコテージに住んでいます。,天気は大変暑くなりましたが、私は七月十二日からスロバキアに行って山に近いコテージに住んでいます。,無変換
だから、エントリーを書いたら、すぐLang8に置くことができないので、日にちをエントリーに付けます。,ですから、エントリーを書いたら、すぐLang8に置くことができないので、日にちをエントリーに付けます。,無変換
実は、今コンピューターゲームをしたいのですが、まずエントリーを書くほうがいいです。,実は、今コンピューターゲームをしたいのですが、まずエントリーを書くほうがいいです。,無変換
昨日私は近い川に行った時、涼しい水に足を置いて石に座りました。,昨日私は近い川に行った時、涼しい水に足を置いて石に座りました。,無変換
昨日、チェコの「スロウプスコ・ショシューフスケー」洞に遠足しました。,昨日、チェコの「スロウプスコ・ショシューフスケー」洞に遠足しました。,無変換
（名前の発音はかたかなでよく書けます。）弟は写真をたくさん撮りたいと言いましたが、洞の半分ぐらいの写真を撮った後で、カメラが壊れてしまいました。,（名前の発音はかたかなでよく書けます。）弟は写真をたくさん撮りたいと言いましたが、洞の半分ぐらいの写真を撮った後で、カメラが壊れてしまいました。,無変換
やっぱり、弟は怒りましたが、家に帰った後、カメラを直すことができました。,やっぱり、弟は怒りましたが、家に帰った後、カメラを直すことができました。,無変換
ぼうしゃにいたら、森に行ったり川にいったりして過ごしたいです。,ぼうしゃにいたら、森に行ったり川にいったりして過ごしたいです。,無変換
かわりに　（むしろは大丈夫ですか）、家でいろんなものを作っています。,かわりに（むしろは大丈夫ですか）、家でいろんなものを作っています。,どちらでも良い:other
あまり鋭くありませんがこんなに小さい「小ナイフ」なら十分です。,あまり鋭くありませんがこんなに小さい「小ナイフ」なら十分です。,無変換
完成したら、弟にコスチュームの写真を撮ってくれるように頼みます。,完成したら、弟にコスチュームの写真を撮ってくれるように頼みます。,無変換
「私が送信したのはカキコミではない、寂しさなんだ。」「寂しさなんだ」というのは、去年中国のインターネット上でもっとも流行している言葉でした。,「私が送信したのはカキコミではない、寂しさなんだ。」「寂しさなんだ」というのは、去年中国のインターネット上でもっとも流行している言葉でした。,無変換
それに対して、日本でもインターネット上で流行している言葉を選ぶ「ネット流行語大賞」というものがありまして、2010年の金賞は「そんな装備で大丈夫か？」という３Ｄアクションゲームのセリフでした。,それに対して、日本でもインターネット上で流行している言葉を選ぶ「ネット流行語大賞」というものがありまして、2010年の金賞は「そんな装備で大丈夫か？」という３Ｄアクションゲームのセリフでした。,無変換
そして、ネット上では、このセリフをまねて、「そんなＯＯで大丈夫か？」と尋ねると、「大丈夫だ、問題ない。」と答えるやりとりが大流行でした。,そして、ネット上では、このセリフをまねて、「そんなＯＯで大丈夫か？」と尋ねると、「大丈夫だ、問題ない。」と答えるやりとりが大流行でした。,無変換
こんな話は年上から見ると、特に意味がない普通の話にすぎないかもしれませんけど、若者にとっては、ユーモラスなツッコミになりました。,こんな話は年上から見ると、特に意味がない普通の話にすぎないかもしれませんけど、若者にとっては、ユーモラスなツッコミになりました。,無変換
文字通りに若者に支持されている文化的形態や活動だと私は理解しています。,文字通りに若者に支持されている文化的形態や活動だと私は理解しております。,どちらでもよい:謙譲語
中日国交回復して以来、両国は各分野に渡って、特に文化においての交流が盛んに行われています。,中日国交回復して以来、両国は各分野に渡って、特に文化においての交流が盛んに行われています。,無変換
初期の映画から今のドラマ、アニメ、テレビゲーム及び一部の電子製品に至るまで、日本文化の影響が至る所に見られています。,初期の映画から今のドラマ、アニメ、テレビゲーム及び一部の電子製品に至るまで、日本文化の影響が至る所に見られています。,無変換
現在、両国の若者文化にはいろいろな共通点もありましたが、自分の特色も持っています。,現在、両国の若者文化にはいろいろな共通点もありましたが、自分の特色も持っています。,無変換
たとえば、今日本の若者文化のシンボルと言えば、私はなんとなく「ロリータファッション」を頭に浮かべました。,たとえば、今日本の若者文化のシンボルと言えば、私はなんとなく「ロリータファッション」を頭に浮かべました。,無変換
ピアノの発表会などで少女が着るような服をもっとフリフリにしたこのファッションはある人にとってはとても信じられないファッションかもしれませんけど、「ロリータのファン」も少なくないです。,ピアノの発表会などで少女が着るような服をもっとフリフリにしたこのファッションはある人にとってはとても信じられないファッションかもしれませんけど、「ロリータのファン」も少なくないです。,無変換
また、日本のロックバンド及びミュージシャンから始まって、過激で派手な化粧や髪型、衣装などを特徴としている「ヴィジュアル系」も私はどうしても受け入れられません。,また、日本のロックバンド及びミュージシャンから始まって、過激で派手な化粧や髪型、衣装などを特徴としている「ヴィジュアル系」も私はどうしても受け入れられません。,無変換
でも、最近日本の女の子の間でとても人気がある「森ガール」というスタイルは私もすごく気に入っていました。,でも、最近日本の女の子の間でとても人気がある「森ガール」というスタイルは私もとても気に入っていました。,どちらでも良い:other
日本の「ロリータファッション」とか「ヴィジュアル系」とか外国人の私としてはちょっと理解しがたい文化は、中国にもあります。,日本の「ロリータファッション」とか「ヴィジュアル系」とか外国人の私としてはちょっと理解しがたい文化は、中国にもあります。,無変換
1990年代に生まれた若者の中で流行している「非主流」という概念は、まだ絶対的な解釈はありません。,1990年代に生まれた若者の中で流行している「非主流」という概念は、まだ絶対的な解釈はありません。,無変換
ネットで交流するとき、「火星文字」を使うとか、自分で自分を撮影することが好きとか、メッセンジャーの空間を色鮮やかに飾ったりなど、いろいろな特徴を持っています。,ネットで交流するとき、「火星文字」を使うとか、自分で自分を撮影することが好きとか、メッセンジャーの空間を色鮮やかに飾ったりなど、いろいろな特徴を持っています。,無変換
今の時代は、とても寛容な時代なので、いろいろな文化が共存することができます。,今の時代は、とても寛容な時代なので、いろいろな文化が共存することができます。,無変換
今両国ともはやっている「萌え文化」とか「ツッコミ文化」には私もすごく興味があります。,今両国ともはやっている「萌え文化」や「ツッコミ文化」には私もとても興味があります。,どちらでも良い:other
今両国の若者文化の中で、私はどうしても気にするのは、そこには自分の国の伝統的なものはとても少ないのではないでしょうか？,今両国の若者文化の中で、私はどうしても気にするのは、そこには自分の国の伝統的なものはとても少ないのではないでしょうか？,無変換
この前、「私たち中国の若者は欧米人と話しているとき、よく英語の名前を使うのに対して、日本の若者たちはよくローマ字で自分の名前をそのまま使います。,この前、「私たち中国の若者は欧米人と話しているとき、よく英語の名前を使うのに対して、日本の若者たちはよくローマ字で自分の名前をそのまま使います。,無変換
私たちはますます自国の伝統文化を失っているのではないか？」と友達が私にそういいました。,私たちはますます自国の伝統文化を失っているのではないか？」と友達が私にそういいました。,無変換
実は、私は「両国の若者ともある程度自分の国の伝統文化をゆるがせにしている。」と思っています。,実は、私は「両国の若者ともある程度自分の国の伝統文化をゆるがせにしている。」と思っています。,無変換
西洋のクリスマスとかバレンタインデーとか中日でもとても人気があって、ブームになってきましたが、自国の伝統的な祝日は昔の人と同じようにちゃんとすごしているんですか？,西洋のクリスマスやバレンタインデーなど中日でもとても人気があって、ブームになってきましたが、自国の伝統的な祝日は昔の人と同じようにちゃんとすごしているのですか？,変換:other
皆さんに「京劇」という言葉を聞いてどういったことを思い浮かべるかという質問をしてみたら、皆さんはどう答えるつもりですか？,皆さんに「京劇」という言葉を聞いてどういったことを思い浮かべるかという質問をしてみたら、皆さんはどう答えるつもりですか？,無変換
また、日本の若者たちに「歌舞伎」という言葉を聞いてどういったことを思い浮かべるかという質問をしてみたら、彼たちはいったいどう答えるでしょうか？,また、日本の若者たちに「歌舞伎」という言葉を聞いてどういったことを思い浮かべるかという質問をしてみたら、彼たちはいったいどう答えるでしょうか？,無変換
まずは自分の国の伝統文化を大切にしてみたらいいのではないでしょうか？,まずはご自分の国の伝統文化を大切になさってみたらよろしいのではないでしょうか？,どちらでも良い:尊敬語/美化語
伝統文化をちゃんと味わって、そして新鮮なものをくわえて、新たなすばらしい若者文化を作りましょう。,伝統文化をちゃんと味わって、そして新鮮なものをくわえて、新たなすばらしい若者文化を作りましょう。,無変換
いつか、私たちの東洋的な若者文化はきっと世界中でブームになります。,いつか、私たちの東洋的な若者文化はきっと世界中でブームになります。,無変換
夜、日本語を勉強したかったのに、先にオンラインでドラムマシーンを探し始めてしまいました。,夜、日本語を勉強したかったのに、先にオンラインでドラムマシーンを探し始めてしまいました。,無変換
「アメリカの金持ちなら、ソフトウェアの会社の会長ビル・ゲイツほど財産が多い人はいない。」,「アメリカの金持ちなら、ソフトウェアの会社の会長ビル・ゲイツほど財産が多い人はいない。」,無変換
ほかの人はそのソフトウェアを使ってもいいけれども、使用料がその会長に集まることになっている。,ほかの人はそのソフトウェアを使ってもいいけれども、使用料がその会長に集まることになっています。,どちらでも良い:丁寧語
「いいアイデアが一つあったら、金持ちになれますよ」と言った人がいる。,「いいアイデアが一つあったら、金持ちになれますよ」と言った人がいます。,どちらでも良い:丁寧語
どんな所でどんな物を皆は使っているか、あるいは前にだれも使ったことがなかった物がないかと聞いた。,どんな所でどんな物を皆は使っているか、あるいは前にだれも使ったことがなかった物がないかと聞きました。,どちらでも良い:丁寧語
地下鉄に乗る時、お年寄りとか、中年の人とか、若者とか、学生とか、誰でもカバンを持っていることだった。,地下鉄に乗る時、お年寄りとか、中年の人とか、若者とか、学生とか、誰でもカバンを持っていることでした。,どちらでも良い:丁寧語
もし、年齢に関係なくみんなが使えるカバンが作れたら、金持ちになるかもしれない。,もし、年齢に関係なくみんなが使えるカバンが作れたら、金持ちになるかもしれません。,どちらでも良い:丁寧語
カバンを持っている人はたぶんいろいろなものを入れておくと便利だと考える節があるが、もう一つは若い者は衣服を飾ることだと思う。,カバンを持っている人はたぶんいろいろなものを入れておくと便利だと考える節がありますが、もう一つは若い者は衣服を飾ることだと思います。,どちらでも良い:丁寧語
実はわが国では、出かけるときカバンを持って行く習慣がないと思う。,実はわが国では、出かけるときカバンを持って行く習慣がないと思います。,どちらでも良い:丁寧語
商業的に考えれば、カバンの商売がよくできたら、お金を儲けて、お金持ちになれるでしょうか。,商業的に考えれば、カバンの商売がよくできたら、お金を儲けて、お金持ちになれるでしょうか。,無変換
福山と柴崎はもちろん好きだし、北村一輝と松雪泰子も昔から気に入る俳優で、一緒に出演していて嬉しかったです。,福山と柴崎はもちろん好きだし、北村一輝と松雪泰子も昔から気に入る俳優で、一緒に出演していて嬉しかったです。,無変換
（原作は東野圭吾の同名の小説です。）私はすごく感動して、最後までいっぱい泣いちゃいました。,（原作は東野圭吾の同名の小説です。）私はとても感動して、最後までたくさん泣いてしまいました。,変換:other
妹は会社から無料のチケットをもらったから、映画を見に行く時間を変えられなかったです。,妹は会社から無料のチケットをもらったので、映画を見に行く時間を変えられませんでした。,変換:other
このせいで、日本語の授業が行けなくなっちゃって、塾に電話しました。,このせいで、日本語の授業が行けなくなってしまい、塾に電話しました。,変換:other
そのとき受付の人から「ちなみに大島先生はしばらく日本に戻りましたので、今日から二月まで、授業が代講になりました。」って言われました。,そのとき受付の人から「ちなみに大島先生はしばらく日本に戻りましたので、今日から二月まで、授業が代講になりました。」と言われました。,変換:other
日本語の先生の中で、大島先生のことが一番好きですから、一言もいえずに会えなくなっちゃって、寂しい感じがしました...。ちゃんと戻ってきてくれるかなってちょっと心配になってきました。,日本語の先生の中で、大島先生のことが一番好きですから、一言もいえずに会えなくなってしまって、寂しい感じがしました...。ちゃんと戻ってきてくれるかなと少し心配になってきました。,変換:other
最初、このアニメは夢を追うことだと思うけれども、ストーリーが続くにつれて、あたしの考えも変わっ　た。,最初、このアニメは夢を追うことだと思いますが、ストーリーが続くにつれて、わたしの考えも変わりました。,どちらでも良い:丁寧語
だから私は Manga Moods と呼ばれる別の本を借りました。,だから私は Manga Moods と呼ばれる別の本を借りました。,無変換
"以下のようなフレーズがあります。""自分を信じるわ""や""宝くじ当たったの？","以下のようなフレーズがあります。""自分を信じるわ""や""宝くじ当たったの？",無変換
そして、私の一番の夢はタイへ行って、タイ語で現地の人と交流することです。,そして、私の一番の夢はタイへ行って、タイ語で現地の人と交流することです。,無変換
今日は午前９時に大学へ行こうとしたが、家の近くの道路が、工事中のため通行止めでした。,今日は午前９時に大学へ行こうとしましたが、家の近くの道路が、工事中のため通行止めでした。,どちらでも良い:丁寧語
アメリカの発見は、ヨーロッパで科学のパラダイムを変化させました。,アメリカの発見は、ヨーロッパで科学のパラダイムを変化させました。,無変換
お気に入りのスウェーデン人のブロガーがつい最近の日本への旅のことからビデオを作って、それの挿入歌を好きになっちゃいました＞ｗ＜。歌詞がいつもはっきり聞き取れないけど、さまざまな聞こえた部分をググってもなにも見つけられなかったんです。,お気に入りのスウェーデン人のブロガーがつい最近の日本への旅のことからビデオを作って、それの挿入歌を好きになってしまいました＞ｗ＜。歌詞がいつもはっきり聞き取れないけど、さまざまな聞こえた部分をググってもなにも見つけられなかったのです。,変換:other
赤ちゃんはたくさん転んで痛みをかんじましたが、どうして歩くことを練習しつづけましたか。,赤ちゃんはたくさん転んで痛みをかんじましたが、どうして歩くことを練習しつづけましたか。,無変換
私は歩いていますよ」、赤ちゃんは話せませんでしたが、私にそう言っているようでした。,私は歩いていますよ」、赤ちゃんは話せませんでしたが、私にそう言っているようでした。,無変換
もし赤ちゃんがあきらめたら、今でも歩くことができないと思います。,もし赤ちゃんがあきらめたら、今でも歩くことができないと思います。,無変換
でも、障害も難しいこともありますから、度々夢とか希望を果たすことができません。,でも、障害も難しいこともありますから、度々夢とか希望を果たすことができません。,無変換
皆さんはThomas Alfa Edison（トーマスアルファエジソン）をしっていますか。,皆さんはThomas Alfa Edison（トーマスアルファエジソン）をしっていますか。,無変換
Edison （エジソン）は、ひゃっかいでも、せんかいでも失敗しました。,Edison （エジソン）は、ひゃっかいでも、せんかいでも失敗しました。,無変換
その時に人々がEdisonはむだなことをしていると思いました。,その時に人々がEdisonはむだなことをしていると思いました。,無変換
