元文,変換文,"ラベル
でも、信用が　　ありましたから、ついにEdison は沢山必要な物をはつめいしました。,でも、信用がありましたから、ついにEdison は沢山必要な物をはつめいしました。,どちらでも良い:other
Abraham Lincoln （アブラハムリンカーン）もアメリカの大統領になるためにさいさん失敗しました。,Abraham Lincoln （アブラハムリンカーン）もアメリカの大統領になるためにさいさん失敗しました。,無変換
たとえびんぼうな家族でも希望がありましたから、ついに本田宗一郎は有名なオートバイの会社のかんりしゃになりました。,たとえびんぼうな家族でも希望がありましたから、ついに本田宗一郎は有名なオートバイの会社のかんりしゃになりました。,無変換
明日は日本からの友たちにこの町を案内してあげるから、今日わたしと代わる人を見つけなきゃいけない。,明日は日本からの友たちにこの町を案内してあげるから、今日わたしと代わる人を見つけないといけない。,変換:other
夏休みの宿題がぜんぜん書けないよ」「母さんはダメで、すみませんね」・・・・・さっき、あるコスプレの同志が「手伝おう！」って言った、感動した！！,夏休みの宿題がぜんぜん書けないよ」「母さんはダメで、すみませんね」・・・・・さっき、あるコスプレの同志が「手伝おう！」と言いました、感動しました！！,どちらでも良い:丁寧語
明日の路線をまだ決めてない....旅行で、一番大切なことは食べる物か？,明日の路線をまだ決めていません....旅行で、一番大切なことは食べる物ですか？,どちらでも良い:other
この文章はキャノン杯スピーチ特訓班の発表のテーマとして、書いています。,この文章はキャノン杯スピーチ特訓班の発表のテーマとして、書いています。,無変換
「失敗なんか全然恥ずかしくない、貴女よく頑張るわね。」と中学三年の国語担当の先生から言われました。,「失敗なんか全然恥ずかしくない、貴女よく頑張るわね。」と中学三年の国語担当の先生から言われました。,無変換
それなのに、クリスマスの日に学校は歌コンクールを行うことになりました。,それなのに、クリスマスの日に学校は歌コンクールを行うことになりました。,無変換
「マジで、時間が足りないよ。」「冗談はやめてくれない、進学はどうするの。」「クラス委員さんがやればいいのに」と皆は文句を言いました。,「マジで、時間が足りないよ。」「冗談はやめてくれない、進学はどうするの。」「クラス委員さんがやればいいのに」と皆は文句を言いました。,無変換
ちょうどその時期、班長さんは病気で、学習委員の私がやらなければなりませんでした。,ちょうどその時期、班長さんは病気で、学習委員の私がやらなければなりませんでした。,無変換
正直に言うと私は音痴の上に、たくさんの人の前で大声で話すことさえできませんでした。,正直に言うと私は音痴の上に、たくさんの人の前で大声で話すことさえできませんでした。,無変換
もう進学試験が迫っているのに、放棄するわけにはいきませんでした。,もう進学試験が迫っているのに、放棄するわけにはいきませんでした。,無変換
皆もいやですから、クラス委員として、責任を取らなければなりませんでした。,皆もいやですから、クラス委員として、責任を取らなければなりませんでした。,無変換
毎日授業が終わった後、一人でＣＤを聞いて、歌詞を暗記しました。,毎日授業が終わった後、一人でＣＤを聞いて、歌詞を暗記しました。,無変換
それだけならまだいいですけど、一番怖いのはコンクールの日は学校の全員の前で歌わなければなりません。,それだけならまだいいですけど、一番怖いのはコンクールの日は学校の全員の前で歌わなければなりません。,無変換
口を開けた途端、マイクに故障があるようで、変な音が出てきました。,口を開けた途端、マイクに故障があるようで、変な音が出てきました。,無変換
慌てて私は緊張のせいかもしれませんが、歌詞をまるっきり忘れてしまいました。,慌てて私は緊張のせいかもしれませんが、歌詞をまるっきり忘れてしまいました。,無変換
一番前に座っている学生が親切にこっそりその歌詞を教えてくれましたが、全然うまく歌えませんでした。,一番前に座っている学生が親切にこっそりその歌詞を教えてくれましたが、全然うまく歌えませんでした。,無変換
一人ぼっちになった私が教室で、もうどうにも我慢できなくて、大声で泣き出しました。,一人ぼっちになった私が教室で、もうどうにも我慢できなくて、大声で泣き出しました。,無変換
もう一ヶ月もかけてずっと練習したのに、自分が本当は馬鹿みたいで、皆の前で恥をかきました。,もう一ヶ月もかけてずっと練習したのに、自分が本当は馬鹿みたいで、皆の前で恥をかきました。,無変換
失敗なんか全然恥ずかしくない、貴女よく頑張るわね。」まだ、子供みたいな私にとって、先生の励ましの言葉は何よりです。,失敗なんか全然恥ずかしくない、貴女よく頑張るわね。」まだ、子供みたいな私にとって、先生の励ましの言葉は何よりです。,無変換
それ以来私の歌声は相変わらず、音痴なのですが、皆の前で話すことなんか全然怖くなくなりました。,それ以来私の歌声は相変わらず、音痴なのですが、皆の前で話すことなど全然怖くなくなりました。,どちらでも良い:other
それに、最も重要なのは私にとって、失敗なんか全然恥ずかしくなくなったことです。,それに、最も重要なのは私にとって、失敗など全然恥ずかしくなくなったことです。,どちらでも良い:other
その時のことがなければ、今の私はキャノン杯に参加する勇気まで失ってしまうでしょう。,その時のことがなければ、今の私はキャノン杯に参加する勇気まで失ってしまうでしょう。,無変換
神様だけが知っている、秘密～～～～♫　あはははっははははははっははははｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋ,神様だけが知っている、秘密～～～～♫ あはははっははははははっははははｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋ,Um
僕はえいごのクラスとバイオロジーのクラスとジオグラフィのクラスと日本語のクラスを取っています。,僕はえいごのクラスとバイオロジーのクラスとジオグラフィのクラスと日本語のクラスを取っています。,無変換
霍さんはインターンシップに行きましたので、５人が残っています。,霍さんはインターンシップに行きましたので、５人が残っています。,無変換
それからの一年間、なんだか気まずい雰囲気になってしまいました。,それからの一年間、なんだか気まずい雰囲気になってしまいました。,無変換
今日は授業がありますので、明日授業の後一緒に外食に行くことにします。,今日は授業がありますので、明日授業の後一緒に外食に行くことにします。,無変換
今日は最初のポストを送りました。　そして五人がすぐに答えました。,今日は最初のポストを送りました。そして五人がすぐに答えました。,どちらでも良い:other
私はこの二年間、勉強しています。　でも私はたくさんの間違いをします。,私はこの二年間、勉強しています。でも私はたくさんの間違いをします。,どちらでも良い:other
私は日本語がとても好きです。そして私はここでしばしば書くつもりです。,私は日本語がとても好きです。そして私はここでしばしば書くつもりです。,無変換
"お菓子はおいしいです.だから私はお菓子が大好きです!毎日,私はお菓子を食べます!","お菓子はおいしいです.だから私はお菓子が大好きです!毎日,私はお菓子を食べます!",無変換
この賞のおかげでアン・ツー、ホー・ゴク・ハー、スアン・ランと同様、学生の花モデルというユースファッションモデルクラブに参加した。,この賞のおかげでアン・ツー、ホー・ゴク・ハー、スアン・ランと同様、学生の花モデルというユースファッションモデルクラブに参加しました。,どちらでも良い:丁寧語
(演じた)ドラマ、映画：サイゴン・ラブ・ストーリー、ラブ・ストーリー,(演じた)ドラマ、映画：サイゴン・ラブ・ストーリー、ラブ・ストーリー,Um
ハノイで行われたヒェン・ツクさんのライブショーに参加したばかりだが、「サイゴン・ラブ・ストーリー」の俳優のフア・ビー・バンはもうすぐ開催される上海国際フィルムフェスティバルの準備で忙しそうだ。,ハノイで行われたヒェン・ツクさんのライブショーに参加したばかりですが、「サイゴン・ラブ・ストーリー」の俳優のフア・ビー・バンはもうすぐ開催される上海国際フィルムフェスティバルの準備で忙しそうです。,どちらでも良い:丁寧語
先日、先生は日本の奥さんは旦那さんが寝た後に化粧を落とし始めるという話をしました。,先日、先生は日本の奥さんは旦那さんが寝た後に化粧を落とし始めるという話をなさいました。,変換:尊敬語
日本の女性はほとんどの人がメークするらしいと聞きましたが、その程度の話まで想像出来ないです。,日本の女性はほとんどの人がメークするらしいと聞きましたが、その程度の話まで想像出来ないです。,無変換
ドラマを見る時、字幕を見なければ、ストーリーが分りにくいです。,ドラマを見る時、字幕を見なければ、ストーリーが分りにくいです。,無変換
こんなことをやってみました。字幕の上に紙を張って、真剣に聞くだけです。,こんなことをやってみました。字幕の上に紙を張って、真剣に聞くだけです。,無変換
ストーリーはまだわからないですけど、ドラマをリスタートしました。,ストーリーはまだわからないですけど、ドラマをリスタートしました。,無変換
明日、友達と一緒に町へ行ってきます。もっとネイルチップがほしいです（笑）。,明日、友達と一緒に町へ行ってきます。もっとネイルチップがほしいです（笑）。,無変換
パープルとイエロマニキュアを買いたいです…最近、そのカラーコンボが大好きです。,パープルとイエロマニキュアを買いたいです…最近、そのカラーコンボが大好きです。,無変換
ちなみに…明日の夜、叔母の家にとまりに行ってきます。待ちきれません☆,ちなみに…明日の夜、叔母の家にとまりに行ってきます。待ちきれません☆,無変換
叔母はStratford（ストラトフォード）に住んでいます。ここから30キロです。,叔母はStratford（ストラトフォード）に住んでいます。ここから30キロです。,無変換
なぜかよく分からないが、日本人とスカイプコールをするたびに、通信が悪くなる。,なぜかよく分かりませんが、日本人とスカイプコールをするたびに、通信が悪くなります。,どちらでも良い:丁寧語
今回ばかりは台風の影響かもしれないけど、台湾人とスカイプするたびに、問題はあまりない。,今回ばかりは台風の影響かもしれませんが、台湾人とスカイプするたびに、問題はあまりありません。,どちらでも良い:丁寧語
私はバドミントンが大好きですから、今日は友達と大学の体育館に行きました。,私はバドミントンが大好きですので、今日は友達と大学の体育館に行きました。,どちらでも良い:other
私たちはこの学期の毎土曜日の午後に体育館のバドミントンの場所を予約しているので、今日からそこに行けます。,私たちはこの学期の毎土曜日の午後に体育館のバドミントンの場所を予約しているので、今日からそこに行けます。,無変換
3時から5じまで、我々はよく運動していたので、とても楽しかったです。,3時から5じまで、我々はよく運動していたので、とても楽しかったです。,無変換
初めは日本のアニメや漫画が自分でわかるようにするために、日本語の勉強始めた。,初めは日本のアニメや漫画が自分でわかるようにするために、日本語の勉強始めました。,どちらでも良い:丁寧語
あるアニメが全部わかるのはまだまだだめだけど、毎日新しい単語を覚えて、そして次の日にこの単語を偶然聞いて理解できるのはとても嬉しかった。,あるアニメが全部わかるのはまだまだだめですが、毎日新しい単語を覚えて、そして次の日にこの単語を偶然聞いて理解できるのはとても嬉しかったです。,どちらでも良い:丁寧語
「勉強すればするほど、難しいと思います」とよく聞いたが、今ならこのセンテンスはちょっとだけわかるようになった。,「勉強すればするほど、難しいと思います」とよく聞きましたが、今ならこのセンテンスは少しだけわかるようになりました。,どちらでも良い:丁寧語
教徒の人々は、優しくて、おばさんのことをちゃんと聞いてくれた。,教徒の人々は、優しくて、おばさんのことをちゃんと聞いてくれました。,どちらでも良い:丁寧語
それ以上、我慢できないおばさんは、とうとう、離婚の道を選んだ。,それ以上、我慢できないおばさんは、とうとう、離婚の道を選びました。,どちらでも良い:丁寧語
日本語字幕・サブタイトル　Japanese subtitles!,日本語字幕・サブタイトルJapanese subtitles!,Um
英語映画がいっぱいあって、日本人の友達と見たいけどその友達は英語が分からない！,英語映画がいっぱいあって、日本人の友達と見たいですがその友達は英語が分かりません！,どちらでも良い:丁寧語
映画はもうパソコンに入ってて、ただ、サブタイトルのファイルが必要だ,映画はもうパソコンに入っていて、ただ、サブタイトルのファイルが必要です,どちらでも良い:丁寧語
人々は色々だけどその違いは国の中のことじゃなくて人と人の違い。,人々は色々ですがその違いは国の中のことではなくて人と人の違い。,どちらでも良い:丁寧語
この週末はアメリカにいる最後だから、私の友達と家族と遊んでいるんですが、時間が止まったようです。,この週末はアメリカにいる最後ですから、私の友達と家族と遊んでいるのですが、時間が止まったようです。,どちらでも良い:丁寧語/other
日本の一般人と日本語で喋れると思うけど、大学の授業の場合は聞き取れないに違いないです。,日本の一般人と日本語で喋れると思いますが、大学の授業の場合は聞き取れないに違いありません。,変換:丁寧語
そして、僕の生まれ育ったところは田舎ですから、それに比べて東京の生活費はやばそうです。,そして、僕の生まれ育ったところは田舎ですから、それに比べて東京の生活費は高そうです。,変換:other
経済的に親から独立しているから、アルバイトができるまで、奨学金を仰がなければならないんです。,経済的に親から独立しているので、アルバイトができるまで、奨学金を仰がなければならないのです。,変換:other
クレジットカードをスキャンしました。そしておきゃくさんが払いました。,クレジットカードをスキャンしました。そしてお客様が払いました。,どちらでも良い:other
でも私の最後の高校のコンサートでしたので、ちょっと悲しいです。,でも私の最後の高校のコンサートでしたので、ちょっと悲しいです。,無変換
できるだけ早く請求にいらっしゃってください」と表示されていました。,できるだけ早く請求にいらっしゃってください」と表示されていました。,無変換
アメリカのCEOと生産労働者の総年収の格差は大きすぎる。そのシステムはおかしくないだろうか？,アメリカのCEOと生産労働者の総年収の格差は大きすぎます。そのシステムはおかしくないでしょうか？,どちらでも良い:丁寧語
まず、この格差がある理由を知るためには、CEOと労働者の給料の平均に基づいて、データを分析する。,まず、この格差がある理由を知るためには、CEOと労働者の給料の平均に基づいて、データを分析します。,どちらでも良い:丁寧語
アメリカの給料レポートによると、アメリカのCEOの給料は、労働者の４７５倍の給料だということだ 。,アメリカの給料レポートによると、アメリカのCEOの給料は、労働者の４７５倍の給料だということです 。,どちらでも良い:丁寧語
さらに、アメリカの最低賃金は先進国の中で最も低い賃金の一つだ。,さらに、アメリカの最低賃金は先進国の中で最も低い賃金の一つです。,どちらでも良い:丁寧語
東京部の最低賃金は１時間で７９１円だが、アメリカは１時間で７．２５ドルだ 。,東京部の最低賃金は１時間で７９１円ですが、アメリカは１時間で７．２５ドルです 。,どちらでも良い:丁寧語
さて、アメリカのCEOの教育のレべルは、日本のCEOよりさらに高いのだろうか。,さて、アメリカのCEOの教育のレべルは、日本のCEOよりさらに高いのでしょうか。,どちらでも良い:丁寧語
日本は世界中で一番安全な国だけど、円高と物価の問題は本当に大変ですね。,日本は世界中で一番安全な国ですが、円高と物価の問題は本当に大変ですね。,どちらでも良い:丁寧語
旅行している時に迷ったら........北海道はいつもきれいなところだと思います。,旅行している時に迷ったら........北海道はいつもきれいなところだと思います。,無変換
そして、前の海外旅行は...演奏と親族訪問などだけです...単純に旅行したことは一回もありません。,そして、前の海外旅行は...演奏と親族訪問などだけです...単純に旅行したことは一回もありません。,無変換
私の一番好きなテレビ番組は「Torchwood」と「Doctor Who」です。,私の一番好きなテレビ番組は「Torchwood」と「Doctor Who」です。,無変換
だから、私だけはどんなに疲れても絶対、思う存分やらせておきたい。,だから、私だけはどんなに疲れても絶対、思う存分やらせておきたいです。,どちらでも良い:丁寧語
突然床に不明な嘔吐されたものを見つけました。プリンの食欲がだんだん少なくなって、病気になって、入院しました。,突然床に不明な嘔吐されたものを見つけました。プリンの食欲がだんだん少なくなって、病気になって、入院しました。,無変換
”プリンは不明なものを食べたと言われましたので、できれば 二、三日入院したほうがいいと思います”と獣医さんがそう言いました。,”プリンは不明なものを食べたと言われましたので、できれば 二、三日入院したほうがいいと思います”と獣医さんがそうおっしゃいました。,変換:尊敬語
原因は友達が不定時に猫に餌をやるからで、プリンはお腹がすきすぎて、,原因は友達が不定時に猫に餌をやるからで、プリンはお腹がすきすぎて、,無変換
帰る途中、私達は天津の有名なお菓子「耳の目」という揚げ餅を買いました。,帰る途中、私達は天津の有名なお菓子「耳の目」という揚げ餅を買いました。,無変換
そのうえ、晩ご飯は消化しにくい豆腐を食べましたが、胃痛はありませんでした。,そのうえ、晩ご飯は消化しにくい豆腐をいただきましたが、胃痛はございませんでした。,どちらでも良い:謙譲語/丁寧語
しばらく前にAMAZONから「A Handbook of Japanese Function Words」という本を買いました。,しばらく前にAMAZONから「A Handbook of Japanese Function Words」という本を買いました。,無変換
（「I work as an assistant teacher」は日本語でなんと言うのでしょうか。）,（「I work as an assistant teacher」は日本語でなんと言うのでしょうか。）,無変換
日本人にとって何が面白い？ with Japanese what is funny ?,日本人にとって何が面白いですか？ with Japanese what is funny ?,どちらでも良い:丁寧語
日本人の友達と話したい。でもなかなかちょっと年上の人だけと話せる。,日本人の友達と話したいです。でもなかなか少し年上の人だけと話せます。,どちらでも良い:丁寧語/other
この頃の私はすぐ社会人になるにもかかわらず、学生気質がまだ抜けきりませんね。,この頃の私はすぐ社会人になるにもかかわらず、学生気質がまだ抜けきりませんね。,無変換
学生の時といわず、社会人の時といわず、私は穏やかで気品のある話し方をする人であることが変わりません。,学生の時といわず、社会人の時といわず、私は穏やかで気品のある話し方をする人であることが変わりません。,無変換
子供の時から今まで、私はよく責任を引き受けて、真面目な人になるように育てられています。,子供の時から今まで、私はよく責任を引き受けて、真面目な人になるように育てられています。,無変換
まだ小学生の時、毎日自分で手習いをして、一つ変な格好の字を見たら、必ず何度も書いてしまいました。,まだ小学生の時、毎日自分で手習いをいたしまして、一つ変な格好の字を見たら、必ず何度も書いてしまいました。,どちらでも良い:謙譲語
故郷では内モンゴルの片田舎で、農民の素朴な品性を持っていて、金とか、名利とかにあっさりしています。,故郷では内モンゴルの片田舎で、農民の素朴な品性を持っていて、金や、名利などにあっさりしています。,どちらでも良い:other
でも、ある時、成功するために、私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく、気もよくいらいらする人になります。,でも、ある時、成功するために、私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく、気もよくいらいらする人になります。,無変換
私も親切で砕けた人ですから、何時までも何か悩みがあるとしたら、私にご相談していただければ、とても嬉しいと思いますね。,私も親切で砕けた人ですから、何時までも何か悩みがあるとしたら、私にご相談いただければ、とても嬉しいと思いますね。,変換:尊敬語
シュワルツェネッガーとスタローンとどっちのほうが頭がいいですか？,シュワルツェネッガーとスタローンとどちらのほうが頭がいいですか？,どちらでも良い:other
日本ではほかの話したり討論したりすることができる人気ウェブがありますか？,日本ではほかの話したり討論したりすることができる人気ウェブがありますか？,無変換
"ちなみに、台湾の人気ウェブは""台灣論壇""や""台大PTT(BBS)""です。","ちなみに、台湾の人気ウェブは""台灣論壇""や""台大PTT(BBS)""です。",無変換
残念ながら、数年ほど前に最後の一匹は老齢のため亡くなりました。,残念ながら、数年ほど前に最後の一匹は老齢のため亡くなりました。,無変換
なぜそう名づけたかというと、彼の飼い主は回文が好きだからです。,なぜそう名づけたかというと、彼の飼い主は回文が好きだからです。,無変換
「racecar」は、右から左に呼んでも同じ「racecar」なんです。,「racecar」は、右から左に呼んでも同じ「racecar」なのです。,変換:other
機動性を求めてる人に対しては、やっぱりバイクを持ってないと無理です。,機動性を求めてる人に対しては、やっぱりバイクを持ってないと無理です。,無変換
だから、今日はバイクを買っちゃいました。格好よくない中古車ですけど、,だから、今日はバイクを買ってしまいました。格好よくない中古車ですけど、,どちらでも良い:other
このままだったら、私は何の為に、生きているのかが分からないまま生きるかも知れない。,このままでしたら、私は何の為に、生きているのかが分からないまま生きるかも知れません。,どちらでも良い:丁寧語
私はうちの学科のかわいい後輩のヒョンソンアさんについて紹介します。,私はうちの学科のかわいい後輩のヒョンソンアさんについて紹介します。,無変換
そして、彼女には美しい妹さんがいるそうですが、今年、大学へ進学したそうです。,そして、彼女には美しい妹さんがいらっしゃるそうですが、今年、大学へ進学されたそうです。,どちらでも良い:尊敬語
好きな歌手はカナダの女性ロッカーのアブリルラビンだと言いました。,お好きな歌手はカナダの女性ロッカーのアブリルラビンだとおっしゃいました。,どちらでも良い:尊敬語
彼女が日本語を学ぶ切っ掛けは高校２年生の時の授業のためでした。,彼女が日本語を学ぶ切っ掛けは高校２年生の時の授業のためでした。,無変換
解説は「軽い命令です」と書いてありますけど、はっきりしてませんね。,解説は「軽い命令です」と書いてありますけど、はっきりしていませんね。,変換:other
たとえば「タバコを吸わないでください」や「タバコを吸わないようにしてください」は全然違いますか。,たとえば「タバコを吸わないでください」や「タバコを吸わないようにしてください」は全然違いますか。,無変換
日本に未発売の海外のコスメをサンフランシスコに行く予定があるので、教えて下さい。,日本に未発売の海外のコスメをサンフランシスコに行く予定があるので、教えて下さい。,無変換
みんながこの世の中に使命を負わなければならないと思っています。,みんながこの世の中に使命を負わなければならないと思っています。,無変換
中国古代神話故事（翻訳挑戦）第8弾　八百匹虎東京を騒がす(4),中国古代神話故事（翻訳挑戦）第8弾 八百匹虎東京を騒がす(4),無変換
開封府の長官は虎が群がって殺到してきてることを聞いて、おずおずし、四つの門をしっかりと閉めて兵士が城の上でしっかりと守るように命令を出した。,開封府の長官は虎が群がって殺到してきてることを伺って、おずおずなさり、四つの門をしっかりと閉めて兵士が城の上でしっかりと守るように命令を出されました。,どちらでも良い:尊敬語
虎の王（キング）は八百匹の虎を率いて開封の城の下へやってきた。,虎の王（キング）は八百匹の虎を率いて開封の城の下へやって来られました。,どちらでも良い:尊敬語
四つ門とも閉められてるのをみて怒りが込み上げ、号令一下、八百匹の虎は一斉に地に伏せて長々と吼えたあと、高々と城の上に飛び上がり、城を守ってる兵士たちはそれを見てみんな怯えて生きた心地もなしにだらりと地に萎びていった。,四つ門とも閉められてるのをみて怒りが込み上げ、号令一下、八百匹の虎は一斉に地に伏せて長々と吼えたあと、高々と城の上に飛び上がり、城を守ってる兵士たちはそれを見てみんな怯えて生きた心地もなしにだらりと地に萎びていきました。,どちらでも良い:丁寧語
何と不思議なことに、虎たちは兵士たちと民衆たちに加害もせず、一目散に虎のキングを伴って開封府の大堂についた。,何と不思議なことに、虎たちは兵士たちと民衆たちに加害もせず、一目散に虎のキングを伴って開封府の大堂につきました。,どちらでも良い:丁寧語
一瞬のうち、大堂のあちこち、裏表に、屋上にも家の下にも虎で一杯になっていた。,一瞬のうち、大堂のあちこち、裏表に、屋上にも家の下にも虎で一杯になっていました。,どちらでも良い:丁寧語
長官はそれを見て手足に力も入らないように痺れて立つことさえ出来なかった。,長官はそれをご覧になって手足に力も入らないように痺れてお立ちになることさえ出来ませんでした。,どちらでも良い:尊敬語/丁寧語
親のような官職についてるのに、民のために、利益をもたらし、害を排除することなく、逆にこの地域に災いを来すばかりで、お前は何の役に立つのか 」,親のような官職についてるのに、民のために、利益をもたらし、害を排除することなく、逆にこの地域に災いを来すばかりで、お前は何の役に立つのか 」,無変換
拝んで恩人の王天亮を牢獄から出したあと、尾を振り出し、長官を３丈外にぶっ飛ばした。,拝んで恩人の王天亮を牢獄から出したあと、尾を振り出し、長官を３丈外にぶっ飛ばしました。,どちらでも良い:丁寧語
王天亮は耳にさらさらと風の吹く音をさせながら疾風迅雷のような速さであっという間に、うちに戻った。,王天亮は耳にさらさらと風の吹く音をさせながら疾風迅雷のような速さであっという間に、うちに戻られました。,どちらでも良い:尊敬語
お二人が愛し合い、釣り合う様子を見て、仲人として二つの婚縁を取り持った。,お二人が愛し合い、釣り合う様子を見て、仲人として二つの婚縁を取り持ちました。,どちらでも良い:丁寧語
日本語を勉強しながら中国語の漢字が無意識に身に付くだろうと思った。,日本語を勉強しながら中国語の漢字が無意識に身に付くだろうと思いました。,どちらでも良い:丁寧語
だっていつも字幕を観てたし、ちょっとだけ聞き取った言葉に自信がなくても、漢字から意味を探したりしてたもんで、次回から字幕を隠そうと思ってる。,なぜならいつも字幕を観てたし、少しだけ聞き取った言葉に自信がなくても、漢字から意味を探したりしていたもので、次回から字幕を隠そうと思っています。,変換:丁寧語/other
ところで、一番聞き取りにくかったのが、やっぱりおばあちゃんの言葉だった。,ところで、一番聞き取りにくかったのが、やっぱりおばあちゃんの言葉でした。,どちらでも良い:丁寧語
彼女の声が上がったり下がったり、僕がなれている話し方とぜんぜん違うものだった。,彼女の声が上がったり下がったり、僕がなれている話し方とぜんぜん違うものでした。,どちらでも良い:丁寧語
おばあちゃんのせりふの半分以上わかんないというときは少なくなかったよ。,おばあちゃんのせりふの半分以上わからないというときは少なくなかったですよ。,変換:丁寧語/other
特に最後の元気そうなお母ちゃんとその子供の笑顔に心が温まった。,特に最後の元気そうなお母ちゃんとその子供の笑顔に心が温まりました。,どちらでも良い:丁寧語
でも同時に宮崎監督の「火垂るの墓」のお母さんの定めを思い出して、逆に悲しくなった。,でも同時に宮崎監督の「火垂るの墓」のお母さんの定めを思い出して、逆に悲しくなりました。,どちらでも良い:丁寧語
その瞬間に、彼は本当に幅広く感情を引き起こせるということに気づいた。,その瞬間に、彼は本当に幅広く感情を引き起こせるということに気づきました。,どちらでも良い:丁寧語
ある友達からSpirited Awayという映画をもらってるんで、次はそれにしようかな？,ある友達からSpirited Awayという映画をもらっているので、次はそれにしようかな？,変換:other
ＬＡに　いって　Ｋｏｒｅａ　Ｔｏｗｎで　沢山の　韓国　料理を　食べました。,ＬＡに いってＫｏｒｅａ Ｔｏｗｎで 沢山の韓国 料理を食べました。,どちらでも良い:other
私たちは　五日間　過ごした。　最初の三日間は　雨が　非常に　降って　大変でした。,私たちは五日間過ごしました。最初の三日間は雨が非常に降って大変でした。,どちらでも良い:丁寧語
Ｐａｌｍ　Ｓｐｒｉｎｇｓでは　沢山のＲｅｓｏｒｔが　あります。,Ｐａｌｍ　Ｓｐｒｉｎｇｓでは沢山のＲｅｓｏｒｔがあります。,どちらでも良い:other
今日は私の誕生日ではなかったけれども、北京から帰た友達と一緒に私の誕生日のためにパーティーをしていました。,今日は私の誕生日ではなかったのですけれども、北京から帰た友達と一緒に私の誕生日のためにパーティーをしていました。,変換:丁寧語
ケーキもあれば、ビールもありました。皆、酒に酔うとゲームをしていました。有名なゲーム、[本当な話、大冒険]、他人の内緒を知りたいことは皆の興味ですね。,ケーキもあれば、ビールもありました。皆、酒に酔うとゲームをしていました。有名なゲーム、[本当な話、大冒険]、他人の内緒を知りたいことは皆の興味ですね。,無変換
ロシアで結婚式にお客さんをたくさん招待することになっています。,ロシアで結婚式にお客様をたくさんご招待することになっております。,どちらでも良い:尊敬語/美化語
新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません。,新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません。,無変換
それで祝えなくて、プレゼントを司会者をつうじて渡した人もいました。,それで祝えなくて、プレゼントを司会者をつうじて渡した人もいらっしゃいました。,どちらでも良い:尊敬語/other
その結婚式は二日間続いていて、花婿と花嫁はとても疲れていましたが、幸福でした。,その結婚式は二日間続いていて、花婿と花嫁はとても疲れていらっしゃいましたが、幸福でした。,どちらでも良い:尊敬語
初日はロシアの伝統に従って、花婿は親友と一緒に花嫁を身受けしなければなりました。,初日はロシアの伝統に従って、花婿は親友と一緒に花嫁を身受けしなければなりました。,Um
それは花嫁のご両親にされた障害を克服しながら、愛を証明するという意味です。,それは花嫁のご両親にされた障害を克服しながら、愛を証明するという意味です。,無変換
ロシアで結婚届けを出した後、名所を見物することになっています。,ロシアで結婚届けを出された後、名所を見物されることになっています。,どちらでも良い:尊敬語
